EBELN,EBELP,BSART,BSTYP,STATU,AEDAT,BEDAT,LIFNR,VENDOR_NAME,EKORG,EKGRP,WAERS,WKURS,MATNR,TXZ01,MATKL,WERKS,LGORT,MENGE,MEINS,NETPR,NETWR,BWART,BUDAT,MBLNR,MJAHR,ZEILE,KOSTL,AUFNR,INCO1,ZTERMS,LOEKZ,SECTION_SOURCE
4500000477,10,UB,U,,30.09.2023,11.09.2023,300015,IOC Bulk Fuels,1000,ZF1,INR,1,LDO-00008,Light Diesel Oil   ,FUEL,1000,FUEL,474.162,KL,90756.92,43033482.7,541,02/27/2023,,,,CC-CHN-003,600000001,DDP,NT45,,PRD_EN_SE16N
4500000477,10,UB,U,,06-12-2023,20240623,800022,Gulf Oil Lubricants India,ZIND,ZF1,INR,1,HFO-00009,Heavy Fuel Oil,FUEL,2100,TANK,68.811,TO,89419.68,6153057.6,101,07/26/2023,5000014538,2025,3,CC-MUM-001,OR-2024-001,FOB,14,,PRD_EN_SE16N
4500001207,20,ZFUE,F,B,20231029,11.11.2023,200078,HPCL Petroleum Corp,CORP,10,INR,1,KER-00004,Kerosene SKO,FUEL,MUMB,TK01,474.606,KL,88916.01,42200071.84,541,02-01-2023,,,,CC-MUM-001,600000001,FOB,Z030,,PRD_EN_SE16N
4500000139,10,ZFU,F,B,24.03.2024,20230102,200078,HPCL Petroleum Corp,INPU,ZZ1,INR,,HSD-00001,High Speed Diesel,FUEL,IN03,TK01,24705,L,88.79,2193556.95,101,06/20/2023,5000021319,2024,1,DFUEL02,,FOB,NT30,,PRD_EN_SE16N
4500000884,10,FO,F,E,20230610,09/13/2024,200078,  HPCL Petroleum Corp,ZIND,F02,USD,83.0305,HSD-00001,High Speed Diesel   ,FUEL,4000,1,9580,L,1.1,10538,122,20231206,5000051498,2025,5,1000020,,FOB,Z045,,PRD_EN_SE16N
4500000970,20,ZFUE,F,B,20241107,20240212,200078,HPCL Petroleum Corp,1000,PET,INR,1,MS-000023,Motor Spirit Petrol BS-VI,FUEL,5000,TK01,96.516,KL,93854.93,9058502.42,261,19.10.2024,,,,1000020,,FOB,NT30,,PRD_EN_SE16N
4500001408,20,FO,F,E,20240502,08-09-2024,400091,Reliance Industries Ltd,ZIND,F01,,,LDO-00008,Light Diesel Oil,FUEL,IN05,,358.581,KL,90021.01,32279823.79,551,09-02-2024,,,,,,DAP,1,,PRD_EN_SE16N
4500001140,20,ZFUE,F,,01/13/2023,10.10.2023,200078,HPCL Petroleum Corp,ZIND,ZF1,USD,83.6654,MS-000023,Motor Spirit Petrol,FUEL,IN04,FT01,39106,L,1.03,40279.18,102,30.09.2024,5000037498,2025,3,CC-DEL-002,OR-2024-002,,1,,PRD_EN_SE16N
4500001378,50,ZFUE,F,U,20231107,20240117,200078,HPCL Petroleum Corp,1000,11,USD,83.9874,GRSE-0031,Grease MP2,LUBR,4000,FT01,345.58,KG,4.14,1430.7,101,05/18/2024,5000024633,2024,2,2000010,,DDP,1,,PRD_EN_SE16N
4500001793,10,FO,F,,21-02-2023,20230913,100042,BPCL Fuel Supply Ltd,ZIND,11,INR,,LUBE-00112,Hydraulic Oil 46,LUBR,2000,,41193,L,90.05,3709429.65,101,20230723,5000023276,2024,5,CC-MUM-001,600000045,FOB,Z045,X,PRD_EN_SE16N
4500001771,30,ZFU,F,U,16.05.2023,20230110,200078,HPCL Petroleum Corp,IN00,PET,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,1100,10,3744.67,GAL,344.33,1289402.22,551,09-07-2024,,,,,,,NT30,X,PRD_EN_SE16N
4500001312,20,NB,F,,20241029,25.09.2023,500033,Shell India Markets Pvt,INPU,F02,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,CHN1,1,12091,L,85.57,1034626.87,541,03.06.2023,,,,MFUEL01,,,1,,PRD_EN_SE16N
4500001722,30,FO,F,,20240427,20230705,300015,IOC Bulk Fuels,ZIND,ZZ1,USD,83.8089,LDO-00008,Light Diesel Oil,FUEL,2100,TK02,281.721,KL,1127.26,317572.81,261,22.09.2023,,,,1000010,,,NT30,,PRD_EN_SE16N
4500001784,10,FO,F,,08-06-2024,20230725,400091,Reliance Industries,ZIND,F02,,,ATF-00005,Aviation Turbine Fuel,FUEL,IN01,1,"13004,71",GAL,327.21,4255271.16,261,20240413,,,,2000010,600000001,DAP,SOFO,,PRD_EN_SE16N
4500000493,40,UB,U,,11/26/2023,18-01-2024,200078,HPCL Petroleum Corp,CORP,11,,,KER-00004,Kerosene SKO,FUEL,IN01,FT01,339.99,KL,91266.87,31029823.13,551,20240627,,,,,,CFR,Z045,,PRD_EN_SE16N
4500000338,20,UB,U,B,20230515,20230120,500033,Shell India,CORP,FUL,USD,,LUBE-00113,Gear Oil 90,LUBR,AHM1,1,92.8,KG,3.05,283.04,541,23.01.2023,,,,,,CIF,1,,PRD_EN_SE16N
4500001405,20,ZFUE,F,,09.11.2024,06.03.2024,400091,Reliance Industries,1000,ZF1,INR,1,GRSE-0031,Grease MP2,LUBR,IN04,FT01,77.21,KG,324.6,25062.37,101,29.09.2024,5000065239,2023,5,CC-DEL-002,,DDP,,,PRD_EN_SE16N
4500000626,20,ZNB,F,,02-06-2023,10.08.2024,500033,Shell India Markets Pvt,IN00,ZZ1,USD,84.4546,HFO-00009,Heavy Fuel Oil   ,FUEL,1100,TANK,144.992,TO,1140.58,165374.98,101,20240607,5000005170,2024,3,1000020,,CIF,1,,PRD_EN_SE16N
4500000821,20,ZFU,F,U,05-04-2024,10-06-2023,300015,IOC Bulk Fuels,CORP,ZF1,INR,1,ADV-00200,AdBlue DEF Solution,CHEM,2000,,8422,L,86.33,727071.26,541,10/26/2024,,,,CC-CHN-003,OR-2024-002,DDP,1,,PRD_EN_SE16N
4518804983,30,NB,F,E,18-08-2023,13.08.2024,400091,Reliance Industries,1000,11,INR,1,HFO-00009,Heavy Fuel Oil,FUEL,MUMB,10,"1,04,301",TO,93505.93,9752762,102,11/16/2024,5000019484,2025,5,,600000045,,NT45,,PRD_EN_SE16N
4500000776,10,FO,F,E,20240809,20230322,300015,IOC Bulk Fuels,INPU,ZF1,INR,,LDO-00008,Light Diesel Oil,FUEL,5000,1,63.76,KL,89973.73,5736725.02,101,20240525,5000011913,2025,5,MFUEL01,OR-2024-001,DDP,14,,PRD_EN_SE16N
4500001556,10,ZFUE,F,E,10-10-2024,20231216,800022,Gulf Oil Lubricants India,INPU,ZZ1,USD,84.1437,HFO-00009,Heavy Fuel Oil 380 CST   ,FUEL,IN02,TK01,75.404,MT,1064.08,80235.89,122,26.10.2023,5000024581,2023,4,,,,1,,PRD_EN_SE16N
4500000887,20,NB,F,U,01.07.2023,06-04-2024,700088,Petronet LNG Ltd,CORP,FUL,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,IN_MUM,TK01,26.548,MT,91099.24,2418502.62,101,27.06.2023,5000035860,2024,3,,,CFR,14,,PRD_EN_SE16N
4500000272,30,ZFUE,F,U,20241014,02.07.2023,600047,Essar Oil Ltd,IN00,PET,USD,83.8485,ATF-00005,Aviation Turbine Fuel,FUEL,IN05,,8653.06,GAL,4.11,35564.08,541,04/29/2023,,,,MFUEL01,OR-2024-001,EXW,Z045,,PRD_EN_SE16N
4519426865,10,ZNB,F,,01.09.2023,24.10.2024,300015,IOC Bulk Fuels,IN00,F01,USD,83.8703,LUBE-00111,Engine Oil 15W40,LUBR,2000,TK02,2444,L,1.06,2590.64,101,22.10.2023,5000026619,2025,4,,OR-2024-001,EXW,Z030,,PRD_EN_SE16N
4500001140,10,UB,U,E,20230106,08/21/2024,600047,Essar Oil Ltd,IN00,FUL,INR,1,HSD-00001,High Speed Diesel,FUEL,2000,,46439,L,90.97,4224555.83,101,20230608,5000046934,2023,3,,,DAP,,,PRD_EN_SE16N
4500001947,30,ZFU,F,,20241026,01-05-2024,100042,  BPCL Fuel Supply Ltd,IN00,PET,USD,82.5798,ADV-00200,AdBlue DEF Solution,CHEM,4000,TK02,12093,L,1.09,13181.37,541,20241115,,,,CC-DEL-002,600000045,DDP,SOFO,,PRD_EN_SE16N
4500000432,10,ZNB,F,E,30.07.2023,03-10-2024,600047,Essar Oil Ltd,INPU,F02,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,3000,1,"14126,39",GAL,349.88,4942541.33,101,21.03.2024,5000023329,2024,5,2000010,OR-2024-001,,,,PRD_EN_SE16N
4500000149,30,ZFUE,F,,05.11.2023,20230419,400091,Reliance Industries Ltd,ZIND,F01,INR,1,MS-000023,Motor Spirit Petrol BS-VI   ,FUEL,1000,10,221.65,KL,88951.13,19716017.96,101,10/16/2023,5000071529,2024,2,,600000045,DAP,NT30,X,PRD_EN_SE16N
4500001744,10,ZNB,F,E,20230916,20230708,500033,Shell India Markets Pvt,INPU,PET,USD,83.5977,HSD-00001,High Speed Diesel,FUEL,4000,FT01,28408,L,1.02,28976.16,551,05.07.2023,,,,,,DDP,14,,PRD_EN_SE16N
4500001263,30,ZFU,F,U,20240803,20240821,100042,BPCL Fuel Supply Ltd,ZIND,F02,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,IN02,FUEL,8515,L,88.13,750426.95,122,20-11-2023,5000017603,2025,3,,,,NT30,,PRD_EN_SE16N
4518509040,30,ZFUE,F,U,20240815,02-01-2023,800022,Gulf Oil Lubricants India,IN00,PET,USD,83.8078,LUBE-00111,Engine Oil 15W40   ,LUBR,IN01,TK02,1929,L,1.05,2025.45,102,20240827,5000017548,2024,5,CC-CHN-003,,EXW,NT45,,PRD_EN_SE16N
4500000999,20,ZFU,F,E,20241115,20240114,400091,Reliance Industries,IN00,FUL,INR,1,ATF-00005,Aviation Turbine Fuel,FUEL,MUMB,TK02,459.361,KL,"93815,52",43095191.08,101,20240105,5000097243,2024,5,CC-DEL-002,,FOB,Z045,,PRD_EN_SE16N
4500000285,10,UB,U,U,20231015,20.03.2023,500033,  Shell India Markets Pvt,INPU,10,INR,1,GRSE-0031,Grease MP2   ,LUBR,IN02,,304.99,KG,322.54,98371.47,101,20230711,5000062786,2023,5,2000010,OR-2024-002,DAP,NT45,,PRD_EN_SE16N
4500001155,30,ZNB,F,,20230329,11-08-2024,500033,Shell India,1000,FUL,USD,84.0892,MS-000023,Motor Spirit Petrol,FUEL,1100,TK02,43378,L,1.04,45113.12,551,13-09-2024,,,,CC-CHN-003,,FOB,Z030,,PRD_EN_SE16N
4500001847,10,FO,F,U,20230501,28.06.2024,100042,BPCL Fuel Supply Ltd,IN00,11,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,MUMB,FUEL,121.091,TO,94620.17,11457651.01,102,20241106,5000005693,2025,5,,,FOB,,,PRD_EN_SE16N
4500001771,10,ZFU,F,U,20240616,14.08.2024,700088,Petronet LNG Ltd,1000,ZF1,,,LDO-00008,Light Diesel Oil,FUEL,5000,,403.122,KL,89088.45,35913514.14,101,20241101,5000055517,2025,3,MFUEL01,,,NT45,,PRD_EN_SE16N
4513854922,20,ZFUE,F,,20240604,20230615,400091,Reliance Industries,INPU,10,,,LUBE-00111,Engine Oil 15W40   ,LUBR,IN05,TANK,30740,L,"91,85",2823469,101,12/13/2023,5000061822,2025,4,MFUEL01,OR-2024-001,CIF,,,QAS_DE_MB51
4500000414,30,ZFUE,F,B,05.09.2024,20231020,500033,Shell India,ZIND,F01,INR,1,LUBE-00112,Hydraulic Oil 46   ,LUBR,4000,FUEL,33734,L,88.6,2988832.4,122,26.08.2023,5000087773,2024,4,CC-DEL-002,,FOB,Z045,,QAS_DE_MB51
4500000828,20,FO,F,U,20.04.2023,20230629,500033,Shell India,INPU,ZF1,INR,1,ADV-00200,AdBlue DEF Solution,CHEM,IN05,10,47356,L,93.03,4405528.68,101,20240530,5000073815,2024,2,,,CIF,SOFO,,QAS_DE_MB51
4500000540,10,ZFU,F,E,20231217,13.02.2024,400091,Reliance Industries Ltd,IN00,10,,,LDO-00008,Light Diesel Oil,FUEL,IN01,TK01,180.001,KL,93943.16,16909862.74,101,20230702,5000030783,2025,2,,600000045,DDP,NT45,,QAS_DE_MB51
4500001009,30,UB,U,B,20240607,20231009,100042,BPCL Fuel Supply Ltd,ZIND,F01,INR,1,HFO-00009,Heavy Fuel Oil,FUEL,IN_MUM,TANK,26.521,TO,92205.88,2445392.14,541,08/16/2023,,,,CC-MUM-001,,CIF,1,,QAS_DE_MB51
4500000966,20,ZNB,F,U,20240310,20240110,500033,Shell India,INPU,10,USD,83.872,MS-000023,Motor Spirit Petrol BS-VI,FUEL,4000,,203.293,KL,1071.94,217917.9,261,20240117,,,,CC-DEL-002,,DAP,SOFO,,QAS_DE_MB51
4511660521,30,ZFU,F,E,20230918,20230617,400091,Reliance Industries Ltd,IN00,10,INR,1,HFO-00009,Heavy Fuel Oil,FUEL,2000,FT01,149.174,TO,90078.15,13437317.95,261,20241006,,,,1000020,,DAP,Z045,,QAS_DE_MB51
4500001312,20,UB,U,E,20240808,07.03.2024,400091,Reliance Industries,1000,11,USD,83.7108,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,AHM1,10,69.381,MT,1083.93,75204.15,101,20230315,5000021930,2023,1,2000010,600000045,FOB,Z030,,QAS_DE_MB51
4500001266,30,UB,U,E,11.09.2023,20240204,100042,BPCL Fuel Supply Ltd,CORP,F01,INR,1,HSD-00001,High Speed Diesel,FUEL,IN_MUM,,6651,L,"93,39",621136.89,102,29.03.2024,5000035705,2025,4,2000010,,,Z045,,QAS_DE_MB51
4518779789,10,ZFU,F,U,20240701,20231219,500033,Shell India Markets Pvt,1000,ZZ1,USD,82.9624,LDO-00008,Light Diesel Oil,FUEL,5000,10,241.148,KL,1019.06,245744.28,551,18-05-2024,,,,CC-MUM-001,,,,,QAS_DE_MB51
4512292170,20,ZFUE,F,E,20240924,24.04.2023,400091,Reliance Industries Ltd,ZIND,ZF1,USD,,LDO-00008,Light Diesel Oil   ,FUEL,IN01,,163.719,KL,1036.19,169643.99,261,20240929,,,,CC-DEL-002,,EXW,14,,QAS_DE_MB51
4517887754,10,ZNB,F,,09/14/2023,07/16/2023,300015,IOC Bulk Fuels,1000,10,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,5000,FT01,153.861,MT,89991.7,13846212.95,101,20230113,5000068306,2025,2,,OR-2024-001,CIF,NT30,,QAS_DE_MB51
4500000343,30,ZNB,F,B,20230906,20230503,200078,  HPCL Petroleum Corp,1000,PET,INR,1,ADV-00200,AdBlue DEF Solution,CHEM,3000,FUEL,34568,L,91.88,3176107.84,551,13.02.2023,,,,1000010,600000001,FOB,NT45,,QAS_DE_MB51
4500000276,10,ZFUE,F,,20240726,11.05.2024,500033,Shell India Markets Pvt,CORP,PET,INR,,ADV-00200,AdBlue DEF Solution,CHEM,IN03,,9413,L,88.48,832862.24,551,20240516,,,,,,,1,,QAS_DE_MB51
4500001104,10,ZFU,F,U,20240718,20.06.2024,400091,Reliance Industries Ltd,1000,10,INR,,ATF-00005,Aviation Turbine Fuel,FUEL,AHM1,,322.247,KL,86104.64,27746961.93,102,20231017,5000025115,2023,1,1000010,OR-2024-001,CFR,1,,QAS_DE_MB51
4500001523,20,ZFUE,F,E,03-01-2023,01/13/2024,100042,BPCL Fuel Supply Ltd,CORP,F02,INR,,ATF-00005,Aviation Turbine Fuel,FUEL,IN01,TK01,11147.35,GAL,"353,38",3939250.54,101,30.09.2023,5000069685,2024,2,,OR-2024-002,,NT30,,QAS_DE_MB51
4500001347,30,ZNB,F,,19.11.2023,29-03-2024,600047,Essar Oil Ltd,CORP,F02,INR,1,HFO-00009,Heavy Fuel Oil 380 CST,FUEL,CHN1,10,83.056,MT,93065.93,7729683.88,551,11/29/2023,,,,1000010,,,1,,QAS_DE_MB51
4500000440,10,NB,F,E,07.06.2024,10-10-2023,500033,Shell India,ZIND,FUL,USD,83.6643,HSD-00001,High Speed Diesel BS-VI,FUEL,3000,FT01,8.51,TO,1087.97,9258.62,261,20240808,,,,1000010,,,NT45,,QAS_DE_MB51
4500001674,10,NB,F,U,08-09-2024,21.08.2023,500033,Shell India,1000,11,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,IN_MUM,TK01,19186,L,"88,05",1689327.3,541,10-11-2024,,,,CC-CHN-003,,FOB,Z030,,QAS_DE_MB51
4518419194,20,FO,F,U,07.05.2024,05/14/2023,200078,HPCL Petroleum Corp,INPU,F02,INR,1,MS-000023,Motor Spirit Petrol,FUEL,4000,10,28609,L,90.61,2592261.49,101,20240514,5000042390,2025,5,1000010,OR-2024-002,DDP,14,,QAS_DE_MB51
4500001893,10,FO,F,E,20230329,20240118,700088,Petronet LNG Ltd,IN00,10,INR,,LUBE-00112,Hydraulic Oil 46,LUBR,1000,,31088,L,86.48,2688490.24,101,20230225,5000002981,2024,2,2000010,OR-2024-002,CFR,SOFO,,QAS_DE_MB51
4500001617,20,ZNB,F,U,20230109,20230224,600047,Essar Oil,CORP,F01,USD,,HSD-00001,High Speed Diesel BS-VI,FUEL,MUMB,10,170.565,TO,1117.14,190544.98,101,20241107,5000066655,2025,1,,,DAP,Z030,,QAS_DE_MB51
4515904121,20,ZFU,F,U,20240528,20241002,500033,Shell India Markets Pvt,1000,PET,USD,,HSD-00001,High Speed Diesel BS-VI,FUEL,KOL1,FUEL,175.857,TO,1139.2,200336.29,122,05.03.2023,5000051491,2025,2,,,EXW,,,QAS_DE_MB51
4500000284,30,FO,F,E,13.11.2023,07/27/2023,400091,Reliance Industries Ltd,ZIND,10,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,MUMB,,21560,L,94.09,2028580.4,101,20-06-2024,5000069856,2025,1,,600000001,,,,QAS_DE_MB51
4500001255,10,NB,F,B,20240103,25.08.2023,200078,HPCL Petroleum Corp,1000,FUL,INR,,ATF-00005,Aviation Turbine Fuel,FUEL,DEL1,TANK,12769,GAL,338.75,4325498.75,261,20240503,,,,MFUEL01,,CFR,,,QAS_DE_MB51
4500001776,10,FO,F,U,12.02.2023,20240313,700088,Petronet LNG Ltd,1000,FUL,INR,1,ATF-00005,Aviation Turbine Fuel   ,FUEL,2100,,6215.19,GAL,357.57,2222365.49,122,25.01.2024,5000059886,2023,2,,OR-2024-001,,1,,QAS_DE_MB51
4500000112,10,UB,U,E,20240407,04/19/2024,400091,Reliance Industries Ltd,INPU,ZZ1,INR,,LUBE-00112,Hydraulic Oil 46   ,LUBR,KOL1,TANK,38959,L,94.38,3676950.42,261,20240527,,,,MFUEL01,,DDP,NT45,,QAS_DE_MB51
4500001998,10,FO,F,U,02/14/2023,23.01.2024,100042,BPCL Fuel Supply Ltd,CORP,10,INR,,MS-000023,Motor Spirit Petrol BS-VI,FUEL,IN_MUM,TK02,331.468,KL,86500.9,28672280.32,551,10.12.2023,,,,,OR-2024-001,DAP,Z030,X,QAS_DE_MB51
4500001206,20,FO,F,,07.09.2024,20240224,100042,BPCL Fuel Supply Ltd,CORP,ZZ1,INR,,HFO-00009,Heavy Fuel Oil 380 CST   ,FUEL,DEL1,FUEL,56.344,MT,93029.08,5241630.48,122,09-08-2023,5000004813,2023,1,CC-CHN-003,600000001,FOB,,,QAS_DE_MB51
4500000191,20,ZFUE,F,B,03-11-2023,01/13/2024,600047,Essar Oil Ltd,ZIND,FUL,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,2000,TK01,23594,L,86.22,2034274.68,541,20240717,,,,MFUEL01,,FOB,SOFO,,QAS_DE_MB51
4500001295,10,FO,F,E,25-10-2023,20240916,400091,Reliance Industries Ltd,INPU,10,INR,,LUBE-00113,Gear Oil 90,LUBR,3000,FUEL,"237,79",KG,319.51,75976.28,122,20230102,5000045829,2025,2,,,FOB,Z045,,QAS_DE_MB51
4500000398,20,UB,U,B,04/30/2024,20241119,300015,IOC Bulk Fuels,1000,10,USD,83.4249,HSD-00001,High Speed Diesel BS-VI,FUEL,IN05,TK02,31.922,TO,1098.02,35050.99,101,20241023,5000074048,2025,3,MFUEL01,OR-2024-001,DDP,NT30,,QAS_DE_MB51
4500000240,20,FO,F,B,20231006,19.11.2023,800022,Gulf Oil Lubricants India,INPU,11,INR,1,HSD-00001,High Speed Diesel BS-VI   ,FUEL,DEL1,1,74.945,TO,94635.66,7092469.54,551,05/23/2024,,,,CC-CHN-003,OR-2024-002,,NT45,,QAS_DE_MB51
4500000075,30,FO,F,,15-11-2023,20240618,600047,Essar Oil,INPU,FUL,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,5000,TK02,16731,L,93.89,1570873.59,101,08/31/2024,5000083735,2023,3,,,,NT30,,QAS_DE_MB51
4514752443,30,FO,F,U,15.11.2023,20230908,300015,IOC Bulk Fuels,1000,F02,INR,,MS-000023,Motor Spirit Petrol BS-VI,FUEL,2000,10,30.109,KL,85289.93,2567994.5,541,13.12.2023,,,,MFUEL01,OR-2024-001,EXW,NT30,,QAS_DE_MB51
4500001455,20,UB,U,,05/28/2023,26-08-2023,500033,Shell India,1000,ZZ1,INR,1,MS-000023,Motor Spirit Petrol,FUEL,KOL1,FT01,18236,L,86.83,1583431.88,261,20240923,,,,2000010,,CFR,14,,QAS_DE_MB51
4500001092,30,FO,F,U,07.09.2023,20240228,500033,Shell India Markets Pvt,CORP,F02,USD,83.3707,MS-000023,Motor Spirit Petrol BS-VI,FUEL,MUMB,TANK,173.654,KL,1115.44,193700.62,102,20240508,5000086849,2025,1,2000010,,DDP,NT30,,QAS_DE_MB51
4512330636,30,ZFU,F,B,31.05.2023,10/13/2024,300015,IOC Bulk Fuels,1000,F02,,,GRSE-0031,Grease MP2,LUBR,2000,TK02,201.09,KG,286.69,57650.49,122,08.04.2024,5000056980,2025,3,,,DAP,Z045,,QAS_DE_MB51
4500001439,30,ZFU,F,E,20240220,22.11.2023,100042,BPCL Fuel Supply Ltd,ZIND,10,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,IN05,TANK,35.509,TO,89112.55,3164297.54,101,20240712,5000017600,2023,1,2000010,,,NT45,,QAS_DE_MB51
4500000922,10,UB,U,U,08.01.2023,20230710,800022,Gulf Oil Lubricants India,ZIND,11,INR,,HFO-00009,Heavy Fuel Oil 380 CST   ,FUEL,IN04,FUEL,54.581,MT,95412.52,5207710.75,551,31.08.2023,,,,CC-MUM-001,,CFR,SOFO,,QAS_DE_MB51
4500001851,10,ZFUE,F,U,25.04.2024,20240425,500033,Shell India,IN00,ZZ1,INR,,HSD-00001,High Speed Diesel,FUEL,AHM1,TK02,"48033,0",L,92.98,4466108.34,261,20231206,,,,,,CFR,1,,QAS_DE_MB51
4511871488,30,FO,F,U,04.06.2023,28-06-2023,200078,HPCL Petroleum Corp,INPU,ZF1,INR,1,HSD-00001,High Speed Diesel,FUEL,IN01,,13137,L,92.01,1208735.37,261,01/14/2024,,,,CC-CHN-003,OR-2024-002,,NT45,,QAS_DE_MB51
4500000976,30,UB,U,,20240204,20230828,100042,BPCL Fuel Supply Ltd,1000,F01,INR,1,LUBE-00111,Engine Oil 15W40,LUBR,CHN1,1,21793,L,87.89,1915386.77,551,29.05.2023,,,,2000010,,CFR,14,,QAS_DE_MB51
4500000369,10,FO,F,E,20230311,20241119,300015,IOC Bulk Fuels,CORP,PET,INR,,GRSE-0031,Grease MP2,LUBR,IN_MUM,1,345.89,KG,252.73,87416.78,541,11.04.2023,,,,CC-MUM-001,OR-2024-001,FOB,NT30,,QAS_DE_MB51
4500000156,20,ZFU,F,U,11/14/2024,13.03.2024,400091,Reliance Industries Ltd,1000,FUL,USD,84.4919,ATF-00005,Aviation Turbine Fuel,FUEL,MUMB,FT01,391.462,KL,"1051,17",411493.11,122,20231128,5000064450,2023,5,1000020,,,Z030,,QAS_DE_MB51
4500000039,10,NB,F,B,08.02.2023,30.10.2024,400091,Reliance Industries,1000,F01,INR,1,LUBE-00111,Engine Oil 15W40,LUBR,IN_MUM,FT01,16559,L,"88,91",1472260.69,261,20230930,,,,DFUEL02,,,NT30,,QAS_DE_MB51
4500000942,20,ZFU,F,B,20240721,20241025,300015,IOC Bulk Fuels,CORP,F01,INR,1,LUBE-00112,Hydraulic Oil 46,LUBR,CHN1,TANK,"15014,0",L,88.9,1334744.6,541,29.01.2024,,,,DFUEL02,OR-2024-002,,,,QAS_DE_MB51
4500000632,70,NB,F,U,31.10.2024,20230502,600047,Essar Oil Ltd,CORP,ZZ1,INR,,LUBE-00112,Hydraulic Oil 46,LUBR,IN05,,43523,L,90.37,3933173.51,541,14-04-2024,,,,CC-DEL-002,OR-2024-001,EXW,NT45,X,QAS_DE_MB51
4500001637,10,NB,F,E,20241125,20230727,300015,IOC Bulk Fuels,CORP,FUL,INR,1,MS-000023,Motor Spirit Petrol BS-VI,FUEL,1100,FT01,290.104,KL,86373.29,25057236.92,102,04-05-2023,5000015826,2024,2,CC-MUM-001,,,Z030,,QAS_DE_MB51
4500000015,10,NB,F,,20231018,29.10.2024,200078,HPCL Petroleum Corp,ZIND,11,INR,1,MS-000023,Motor Spirit Petrol BS-VI   ,FUEL,1100,TANK,107.049,KL,91398.26,9784092.33,122,02.05.2024,5000094004,2024,5,CC-CHN-003,,EXW,Z030,,QAS_DE_MB51
4512503452,30,ZFUE,F,U,13.06.2023,20240430,100042,BPCL Fuel Supply Ltd,ZIND,PET,INR,1,ADV-00200,AdBlue DEF Solution   ,CHEM,AHM1,1,18273,L,87.1,1591578.3,101,20230214,5000070432,2023,2,DFUEL02,OR-2024-001,EXW,SOFO,,QAS_DE_MB51
4500001511,10,ZFU,F,E,20230317,01/20/2024,400091,  Reliance Industries Ltd,INPU,PET,INR,,ATF-00005,Aviation Turbine Fuel,FUEL,IN03,TK01,6820.04,GAL,328.65,2241406.15,101,20240511,5000082840,2024,3,2000010,600000001,CFR,NT45,,QAS_DE_MB51
4500001307,10,ZFU,F,E,20230824,14-08-2024,400091,Reliance Industries,IN00,10,INR,,KER-00004,Kerosene SKO,FUEL,KOL1,TK01,497.854,KL,90915.81,45262799.67,101,20240618,5000032483,2024,4,,,,1,X,QAS_DE_MB51
4510208423,30,ZFUE,F,,20230516,21-02-2024,600047,Essar Oil,CORP,11,INR,1,HSD-00001,High Speed Diesel BS-VI,FUEL,5000,,49.911,KL,89797.83,4481899.49,102,02.09.2023,5000060786,2023,4,,,CIF,NT30,,QAS_DE_MB51
4500000166,20,ZFUE,F,U,20241121,26.02.2023,500033,Shell India Markets Pvt,INPU,11,USD,,HSD-00001,High Speed Diesel BS-VI,FUEL,IN03,TK01,185.967,KL,1092.11,203096.42,101,20230222,5000018141,2024,2,,OR-2024-002,EXW,Z030,,QAS_DE_MB51
4500001027,10,ZFU,F,E,11/25/2024,26.04.2024,500033,Shell India Markets Pvt,INPU,F01,INR,1,KER-00004,Kerosene SKO,FUEL,DEL1,FT01,187.232,KL,91733.06,17175364.29,541,20231027,,,,DFUEL02,OR-2024-001,FOB,NT45,,QAS_DE_MB51
4500000861,30,UB,U,E,20230306,20230122,400091,Reliance Industries,IN00,F01,USD,84.0736,MS-000023,Motor Spirit Petrol,FUEL,MUMB,,26029,L,1.06,27590.74,101,08/26/2023,5000071888,2024,4,DFUEL02,,CFR,Z030,,QAS_DE_MB51
4500000330,20,UB,U,E,11/13/2024,06-07-2023,700088,Petronet LNG Ltd,IN00,10,USD,82.869,HSD-00001,High Speed Diesel BS-VI,FUEL,3000,FUEL,25.37,KL,1055.88,26787.68,101,20230615,5000019391,2024,4,,OR-2024-001,CIF,,,QAS_DE_MB51
4500000594,30,ZFUE,F,B,01.08.2024,20241113,400091,Reliance Industries,IN00,F01,USD,82.7338,LUBE-00113,Gear Oil 90,LUBR,MUMB,TK01,65.03,KG,"3,26",212,261,20240328,,,,CC-MUM-001,,EXW,Z030,,QAS_DE_MB51
